2022-03-14 15:45:40.400 [restartedMain] INFO  redis.clients.jedis.JedisSentinelPool - Created JedisPool to master at 124.223.191.89:6379
2022-03-14 15:45:41.648 [restartedMain] INFO  org.mongodb.driver.cluster - Cluster created with settings {hosts=[114.55.119.114:27117, 114.55.119.114:27217, 114.55.119.114:27317], mode=MULTIPLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=1000}
2022-03-14 15:45:41.648 [restartedMain] INFO  org.mongodb.driver.cluster - Adding discovered server 114.55.119.114:27117 to client view of cluster
2022-03-14 15:45:41.676 [restartedMain] INFO  org.mongodb.driver.cluster - Adding discovered server 114.55.119.114:27217 to client view of cluster
2022-03-14 15:45:41.677 [restartedMain] INFO  org.mongodb.driver.cluster - Adding discovered server 114.55.119.114:27317 to client view of cluster
2022-03-14 15:45:42.268 [cluster-ClusterId{value='622ef2a59b65296e5db1d75d', description='null'}-114.55.119.114:27217] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:81855}] to 114.55.119.114:27217
2022-03-14 15:45:42.268 [cluster-ClusterId{value='622ef2a59b65296e5db1d75d', description='null'}-114.55.119.114:27317] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:97816}] to 114.55.119.114:27317
2022-03-14 15:45:42.269 [MaintenanceTimer-3-thread-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:97817}] to 114.55.119.114:27317
2022-03-14 15:45:42.268 [cluster-ClusterId{value='622ef2a59b65296e5db1d75d', description='null'}-114.55.119.114:27117] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:82490}] to 114.55.119.114:27117
2022-03-14 15:45:42.348 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
